stop_id;stop_number;stop_name_short;stop_name;ch_x;ch_y
143;2570;BirmSte;Birmensdorf ZH, Sternen/WSL;676869.4127;245976.5153
309;3356;WalBiSt;Waldegg, Birmensdorferstrasse;677378.4069;246869.5147
373;6232;FRAF07;Zürich Flughafen, Fracht;685408.1667;256313.0781
588;3027;FLUG07;Zürich Flughafen, Bahnhof;684880.1788;256096.0787
623;2989;TZEN01;Thalwil, Zentrum;685141.3859;238859.6052
701;1012;GOLP;Zürich, Goldbrunnenplatz;681212.842;247157.061
729;687;UitiDrf;Uitikon, Dorf;676726.3984;247116.5258
751;2758;UNTR07;Glattbrugg, Unterriet;684795.203;254746.5859
809;501;BirmBhf;Birmensdorf ZH, Bahnhof;675550.4361;245605.5035
832;1401;KILB;Kilchberg ZH, Kirche;683390.3914;241366.5952
833;3254;HALL;Kilchberg ZH, Hallenbad;683196.3801;241420.5771
891;1991;WalPost;Waldegg, Post;677355.4084;246861.5236
1010;2160;SCHA;Zürich, Schaufelbergerstrasse;680302.8558;247018.0606
1067;992;GLAG07;Glattbrugg, Zentrum;685037.3057;254244.6947
1114;1627;MEHO;Dübendorf, Meiershofstrasse;688691.7178;250201.1231
1259;1391;BKIL;Kilchberg ZH, Bahnhof;683871.3794;242108.5973
1270;2680;TRIE;Zürich, Triemli;679825.8643;246878.0502
1305;1472;KUNS;Zürich, Kunsthaus;683852.3155;247219.0966
1306;478;BEZI;Zürich, Bezirksgebäude;682094.3257;247590.0559
1308;736;ETHZ;Zürich, ETH/Universitätsspital;683768.2976;247844.071
1309;564;BUCH;Zürich, Bucheggplatz;682623.2968;250299.0541
1310;821;FARB;Zürich, Farbhof;678564.8515;249384.0238
1311;2572;SOER;Zürich, Sternen Oerlikon;683612.252;251600.0646
1312;657;BDIE;Dietikon, Bahnhof;672898.924;251005.9806
1362;1303;IEBN;Zürich, Im Ebnet;683371.7375;253998.5555
1366;2983;ZGLA;Zentrum Glatt;687338.2208;251560.602
1370;2986;ZREG07;Regensdorf, Zentrum;677523.3218;253876.5255
1372;1228;HOFF;Dübendorf, Hoffnung;687674.7219;250113.6221
1377;6506;BABH07;Kloten Balsberg, Bahnhof;685224.19;255148.0801
1378;6507;RBAU07;Rümlang, Bäuler;684405.7085;254405.084
1379;6508;GLIN07;Glattbrugg, Lindberghplatz;684679.2226;253337.5844
1392;3241;WFLO07;Wallisellen, Florastrasse;687436.9496;251856.4479
1393;2329;SURG;Zürich, Schürgistrasse;686120.732;251504.6023
1398;3246;GIEB07;Glattbrugg, Giebeleichstrasse;684854.215;253680.5939
1405;2277;SHDO;Kilchberg ZH,Schulhaus Dorfstr;683836.8806;241815.5847
1406;1278;HOEL;Zürich, Hölderlinstrasse;684927.8068;246716.5865
1407;1457;KREK;Kilchberg ZH, Kreuzstrasse;683646.3644;242172.5963
1417;1542;RLET07;Rümlang, Letten;682695.7315;254768.5573
1437;632;VCHL07;Volketswil, Volkiland Chliriet;692803.6914;248622.1607
1443;1552;LEUT;Zürich, Leutschenbach;683970.2431;252137.5644
1452;994;BGLA07;Glattbrugg, Bahnhof;684552.2231;253908.5907
1454;1156;HEIZ;Zürich, Heizenholz;678882.8247;251798.0272
1456;6346;DSON;Dübendorf, Sonnental;687946.2244;250054.6066
1475;2422;DBRE;Dübendorf, Breitibach;688179.722;250098.1261
1499;1710;NEUB;Zürich, Neubühl;682842.364;243033.5685
1500;2547;BLEI;Zürich, Bahnhof Leimbach;681615.8961;243033.5743
1501;2294;SCHW;Zürich, Schwamendingerplatz;685555.7489;251051.5967
1502;2556;STAU;Zürich, Stauffacher;682377.8249;247508.5582
1503;1389;KIEN;Zürich, Kienastenwies;687810.2926;245575.6229
1504;1643;MIBU;Zürich, Milchbuck;683301.2725;250288.0652
1509;1577;LISP;Kilchberg ZH, Lindt & Sprüngli;684107.384;241507.093
1510;6594;AHOR;Adliswil, Ahornweg;682827.3949;241471.5781
1511;1660;MORG;Zürich, Morgental;682470.8647;244218.086
1517;2751;USNO;Unterengstringen, Sennenbüel N;676274.3552;251903.4948
1518;2580;STOG;Kilchberg ZH, Stockengut;683286.3855;242061.5884
1520;831;FEGG;Urdorf, Feldegg;674711.9123;249510.4994
1521;589;BAEC;Kilchberg ZH, Bächlerstrasse;683216.3826;242618.5981
1522;2767;BWEI;Urdorf Weihermatt, Bahnhof;674861.4225;248166.5167
1523;1595;LAEG;Zürich, Lägernstrasse;682554.7995;250032.0522
1524;3775;BEND;Kilchberg ZH, Bendlikon;684048.7278;241848.2195
1525;2017;RADI;Zürich, Radiostudio;682767.7862;250720.0681
1526;1018;GOBI;Kilchberg ZH, Gottlieb-Binder;683458.8782;241922.0913
1527;948;GEME;Weiningen ZH, Gemeindehaus;674900.3751;252470.4786
1528;1861;PARA;Zürich, Paradeplatz;683110.8202;247134.5783
1530;3796;MYTH;Kilchberg ZH, Mythenstrasse;683308.3691;242290.5796
1531;2124;ROEM;Zürich, Römerhof;684717.806;246944.0784
1532;1215;HIRS;Zürich, Hirschwiesenstrasse;683403.2739;250523.5723
1533;2304;KSCH;Kilchberg ZH, Schwelle;683651.3774;241828.6015
1534;6238;WERE;Zürich, Werd;682190.8392;247426.0578
1535;48;ALBP;Zürich, Albisriederplatz;680894.8376;248038.5497
1536;1227;HOFA01;Adliswil, Hofackerstrasse;682950.5541;241054.4053
1537;2237;SZEN;Schlieren, Zentrum;676154.8786;250098.5043
1538;2239;SLIM;Kilchberg ZH, Schlimbergstr.;683479.3743;242120.5775
1539;2158;SPLA;Zürich, Schaffhauserplatz;683035.7837;249587.5661
1540;6347;SCHB;Schlieren, Bahnhof;676236.8755;250354.4969
1541;412;BPLA;Zürich, Bahnhofplatz/HB;683155.3156;247945.0736
1542;413;BQUA;Zürich, Bahnhofquai/HB;683312.3037;248012.0839
1543;1334;IRCH;Zürich, Universität Irchel;683484.7764;250071.5776
1552;6447;LRAI;Rüschlikon, Loorain;683443.3895;240180.0897
1553;6448;EGGR;Rüschlikon, Eggrain;683609.3953;239887.094
1557;3042;BWIE;Zürich, Bahnhof Wiedikon;681998.3303;247294.0602
1565;440;BELL;Zürich, Bellevue;683579.32;246811.5873
1571;872;FRAN;Zürich, Frankental;678721.8328;251043.0184
1574;799;EWYS;Zürich, Escher-Wyss-Platz;681815.3177;249390.0597
1580;88;ALTR;Zürich, Altried (Zone 10);687014.7262;251197.1056
1581;1176;HRTI07;Wallisellen, Herti;686051.7211;252368.0896
1596;2346;SEEB;Zürich, Seebach;683836.7395;252904.5784
1598;1259;HUNG;Zürich, Hungerbergstrasse;680185.291;252798.0461
1628;99;ARC101;Thalwil, Archstrasse;684955.3875;238954.6006
1638;28;BADL01;Adliswil, Bahnhof;682100.9168;240645.5863
1677;128;AUSS;Zürich, Ausserdorfstrasse;683749.083;253229.7858
1679;2307;BSCH;Schwerzenbach ZH, Bahnhof;692169.1884;248866.6571
1686;641;CRUZ07;Regensdorf, Chrüzächer;678049.3137;253516.5185
1893;3026;ENGE;Zürich, Bahnhof Enge;682561.3359;246506.0702
1895;416;BSTR;Zürich, Bahnhofstrasse/HB;683134.8124;247840.0639
1904;2264;SOKI;Kilchberg ZH, Schoorenstrasse;683984.873;241309.0894
1905;1430;KLUS;Zürich, Klusplatz;685180.7994;246522.5995
1906;1357;KALK;Zürich, Kalkbreite;681751.3322;247628.0623
1907;1612;MANG;Zürich, Manegg;681737.8877;243467.0765
1908;1187;HEUR;Zürich, Heuried;680641.3465;247039.0488
1909;1440;KSPI;Kilchberg ZH, Spital;682900.3946;241799.5756
1911;75;ALHK;Kilchberg ZH, Altersheim;683322.3849;241586.09
1916;3446;ETTE;Zürich, Ettenfeld;684159.2296;253364.5747
1919;3447;BOEO;Zürich, Bahnhof Oerlikon Ost;683631.7631;252043.5696
1920;439;BELA07;Wallisellen, Belair;686482.208;252037.089
1928;6460;ZFER;Zürich, Fernsehstudio;684744.7279;252544.0838
1931;6461;GGLA07;Glattpark;684387.7339;252790.586
1934;1275;SEPL;Zürich, Seebacherplatz;683725.2482;252710.5762
1938;619;CENT;Zürich, Central;683469.3056;247918.0819
1959;3344;DSTA;Dietikon, Stadthaus;672629.9206;250640.9799
2007;1694;NASS;Schlieren, Nassacker;675709.8897;249818.5106
2008;863;FLUP;Dübendorf, Flugplatz;689758.8007;250873.8884
2009;2789;VORB;Bergdietikon, Vorbühl;671464.9543;249177.485
2010;1028;GRIN;Geroldswil, Grindlen;673702.8864;252380.9938
2011;6044;GAAZ;Zollikon, Garage G.-Maurer-Str;685293.3244;244266.6036
2013;6300;SBRE;Spreitenbach, Breiti;669476.9364;253602.9384
2014;6301;FURT;Spreitenbach, Furttalstrasse;669869.4333;253153.9464
2015;6303;SINT;Spreitenbach, Interio;669864.9301;253321.4519
2016;29;AEGU;Unterengstringen, Aegelsee;676012.3626;252057.4921
2018;3798;VORS;Dietikon, Vorstadt;672389.4125;251357.4699
2019;2798;WAGO;Schlieren, Wagonsfabrik;676664.879;250237.5273
2020;1964;OPOS;Oetwil an der Limmat, Post;672143.3979;253449.4635
2021;1039;GRAU;Dietikon, Grünau;672912.4031;251545.9791
2022;2128;ROES;Zürich, Röslistrasse;683192.2979;249229.0653
2023;6055;DEP2;Zürich, Depot 2 Wollishofen;682561.38;243521.5757
2025;3044;BWOL;Zürich, Bhf Wollishofen (Tram);682685.8606;244597.0779
2027;2975;ZELG;Dübendorf, Zelglistrasse;688979.2105;249819.6373
2028;125;AUSW;Weiningen ZH, Ausserdorf;675529.3614;252353.9986
2029;2303;SWAK;Geroldswil, Schweizäcker;672863.8893;252908.9733
2033;2051;REIT;Schlieren, Reitmen;675056.9;250059.9915
2034;2982;ZENT;Geroldswil, Zentrum;673257.8885;252741.9689
2035;2054;RAUG;Zürich, Rennweg;683052.3244;247500.573
2036;2984;OBEE;Oberengstringen, Zentrum;677273.3489;251433.5228
2038;2313;SBAC;Dietikon, Schäflibach;673416.4134;250369.4911
2039;1226;HACK;Dietikon, Hofacker;673442.4183;250177.4841
2040;1054;GRUZ;Dübendorf, Grüzenstrasse;688975.2185;249638.6389
2042;2406;SOME;Dietikon, Sommerau;672982.9125;250664.9798
2043;2236;SCHL;Schlieren, Zentrum/Bahnhof;676139.373;250231.5056
2044;2238;SCHS;Urdorf, Schlierenstrasse;674343.4058;249391.4894
2045;1061;GUGG;Zürich, Guggachstrasse;683156.2837;250017.5665
2046;2326;SCHO;Zürich, Schörlistrasse;684952.25;251196.5898
2047;2411;SONN;Zürich, Sonneggstrasse;683424.7979;248599.5715
2048;990;GJUC;Dietikon, Gjuchstrasse;672068.9288;251221.4743
2050;1151;HEIM;Schlieren, Heimeliweg;675434.8873;249788.5004
2052;998;GLAT;Zürich, Glattwiesen;686287.7414;250712.615
2053;1414;KWIL;Dübendorf, Kirche Wil;689069.2162;249385.6328
2054;1417;KIPL;Dietikon, Kirchplatz;672819.4279;250907.4786
2055;6261;STHA;Dietikon, Stadthalle Ost;671829.4339;250962.4697
2056;6262;DSIL;Dietikon, Silbern;672008.4077;252373.464
2057;414;BSTD;Dietikon, Bahnhofstrasse;672851.4229;250834.4863
2059;502;BIRM;Dietikon, Birmensdorferstrasse;673888.4133;250107.9999
2060;2256;SWIE;Zürich, Schmiede Wiedikon;681657.3362;247118.0637
2061;2085;RIEW;Bergdietikon, Rietwies;671875.4552;249595.4781
2063;425;DBAL;Bergdietikon, Baltenschwil;672024.4515;249544.4885
2078;6659;WNEU07;Wallisellen, Neugut;687981.2072;251099.6154
2079;6660;DGIE07;Dübendorf, Giessen;688242.2125;250808.6179
2081;6032;DEP7;Zürich, Depot 7 Irchel;683446.2735;249948.5832
2082;3785;RINW;Dübendorf, Ringwiesen;687990.2208;250287.1173
2083;132;ZAUZ;Zürich, Auzelg;685275.7215;252392.5917
2084;1453;KREU;Zürich, Kreuzplatz;684240.3155;246621.5807
2085;1522;LAUI;Zürich, Laubiweg;682871.2911;249928.5699
2086;435;BECK;Zürich, Beckenhof;683186.7951;248727.076
2087;1468;KRON;Zürich, Kronenstrasse;683102.2976;249168.0663
2088;2474;STAM;Zürich, Stampfenbachplatz;683375.3016;248282.068
2089;2045;REGB;Zürich, Regensbergbrücke;683064.7639;251477.5688
2090;144;BADA;Zürich, Bad Allenmoos;682960.2757;251174.0685
2092;2549;REHA;Zürich, Rehalp;686465.6052;245082.3839
2094;2807;WABG;Waldburg, Station;687249.3015;244469.6171
2096;2826;WALT;Zumikon, Waltikon;689138.2905;243473.626
2103;3002;ZOBE;Zollikerberg, Station;687921.2984;244561.6147
2104;1845;OPER;Zürich, Opernhaus;683762.8165;246659.585
2110;2879;WETL;Zürich, Wetlistrasse;685345.3078;246089.5917
2111;3039;BSTA;Zürich, Bahnhof Stadelhofen;683773.3113;246735.0971
2113;1144;HEGI;Zürich, Hegibachplatz;684730.3062;246250.0921
2114;6254;LAEN;Zollikerb., Langägerten/Spital;687613.2969;244636.6179
2120;2166;SCHE;Scheuren, Station;692339.2841;242003.6643
2121;421;BALG;Zürich, Balgrist;685856.3089;245477.0915
2137;2612;SUNN;Zürich, Sunnau;682463.8762;242378.0727
2139;649;DANG;Zürich, Dangelstrasse;682508.3795;243210.5688
2141;2660;TIAK01;Adliswil, Tiefacker;682508.4005;241209.5862
2142;6592;ADMO;Adliswil, Moos;682588.3834;242162.5826
2143;6593;EWEG;Adliswil, Eichenweg;682786.8882;241595.0824
2144;6034;GAR6;Zürich, Garage 6 Hardau;680660.8407;248498.0578
2145;2950;WOLL;Zürich, Wollishofen;682512.3655;243641.0768
2146;2889;WIDM;Zürich, Widmerstrasse;682705.8745;243463.5778
2158;148;ABAD01;Adliswil, Badstrasse;682799.8889;240886.5798
2160;6437;GRUT;Adliswil, Grüt;682426.8988;241844.5852
2183;2771;SIHN;Zürich, Sihlcity Nord;681924.3509;246039.5753
2187;6735;WGLA07;Wallisellen, Glatt;687508.7187;251594.1002
2198;944;GEER;Zürich, Geeringstrasse;678629.8195;252015.5172
2228;601;BOES;Zürich, Börsenstrasse;683176.3312;246957.0692
2244;1364;KAPP;Zürich, Kappeli;679748.3481;248739.0354
2245;1548;LETG;Zürich, Letzigrund;680424.3405;248367.048
2247;1386;KERN;Zürich, Kernstrasse;681999.8205;247654.0721
2248;1579;LOCH;Zürich, Lochergut;681472.3638;247736.5196
2250;3019;ZYPR;Zürich, Zypressenstrasse;681195.3369;247877.049
2251;6030;DEP4;Zürich, Depot 4 Elisabethenstr;681793.3293;247508.5671
2253;883;FREI;Zürich, Freihofstrasse;680116.8361;248576.5387
2254;6425;ZW;Zürich, Zentralwerkstätte;679493.3558;248641.5549
2256;1608;LOEW;Zürich, Löwenplatz;682978.8219;247813.0744
2257;6459;ZOER;Zürich, Oerlikerhus;684165.2369;252464.5729
2258;1098;HALB;Zürich, Haldenbach;683785.2961;248303.5907
2260;2367;RIGI;Zürich, Seilbahn Rigiblick;683792.7881;248930.5928
2262;1366;SIHP;Zürich, Sihlpost;682744.3244;247836.0786
2274;1550;LETZ;Zürich, Letzistrasse;683563.7833;249460.5736
2275;2388;SIGN;Zürich, Signaustrasse;684532.8214;246413.5902
2276;465;BERN;Zürich, Berninaplatz;683735.7704;250916.5781
2287;1557;LIMM;Zürich, Limmatplatz;682541.3108;248785.5631
2289;2395;SIHL;Zürich, Sihlquai/HB;682980.3152;248259.0698
2290;648;DAMM;Zürich, Dammweg;682104.3105;249192.0591
2292;1399;KINK;Zürich, Kinkelstrasse;683634.2831;249263.5835
2293;2924;WINK;Zürich, Winkelriedstrasse;683782.7927;248629.5818
2294;1667;MUFG;Zürich, Museum für Gestaltung;682781.3093;248506.5763
2295;580;BURG;Zürich, Burgwies;685599.8128;245862.6004
2298;2014;QUEL;Zürich, Quellenstrasse;682309.8082;249008.0618
2299;6031;DEP5;Zürich, Depot 5 Hard;681752.3132;249526.5735
2300;6033;DEP8;Zürich, Depot 8 Oerlikon;683762.257;251562.5711
2301;6035;GAR9;Zürich, Garage 9 Hagenholz;684459.2334;252181.5711
2302;1100;HEGG;Zürich, Haldenegg;683523.3035;248225.088
2308;1138;HEDW;Zürich, Hedwigsteig;685090.8079;246110.0846
2312;894;ENZE;Zürich, Friedhof Enzenbühl;686261.3152;245091.6069
2313;2151;SALE;Zürich, Salersteig;683759.7657;251192.5696
2315;1507;LANM;Zürich, Langmauerstrasse;683523.779;249787.5669
2316;2575;BSTE;Zürich, Bahnhof Stettbach;687366.7232;250239.1185
2320;705;DOZE;Zumikon, Dorfzentrum;689517.298;243125.6365
2324;1516;LANZ;Oberengstringen, Lanzrain;677666.3428;251245.5157
2326;81;ALTZ;Dübendorf, Alterszentrum;689228.2294;249221.6365
2327;3520;BRUL;Spreitenbach, Brüel;670426.4377;252342.9554
2328;2436;SPLI;Schlieren, Spital Limmattal;674844.4088;249587.012
2329;6364;STIE;Wangen, Stierwisen;690800.7086;251636.4872
2332;1178;HWEG;Urdorf, Herweg;673933.9088;249653.9926
2333;2268;SWEI;Weiningen ZH, Schulhaus;674724.8681;252443.9988
2334;3183;AEGW;Weiningen ZH, Aegelsee;675914.3572;252135.4896
2336;1265;HATS;Dietikon, Hätschen;672110.9409;250597.9742
2337;1266;WHAE;Wangen, Hätzelwisen;690870.1802;251763.2045
2338;1091;HAGA;Dietikon, Hagackerstrasse;672301.4148;252291.9747
2339;1094;OHAL;Oetwil an der Limmat, Halde;672537.8982;253206.9773
2341;2440;SPIT;Urdorf, Spitzacker;674230.4183;248634.9951
2346;1616;MARW;Dietikon, Marmori-Weiher;672144.4373;250247.9776
2350;6462;IKEA;Spreitenbach, Ikea;670587.4219;252814.4538
2351;6297;HEIN;Urdorf, Heinrich-Stutz-Strasse;674500.443;247100.4999
2352;6724;ULAN;Unterengstringen, Langwisen;676184.3622;251391.0075
2354;701;DOGE;Geroldswil, Dorfstrasse;673542.8896;252570.979
2356;1620;MATT;Zürich, Mattenhof;686986.238;250402.104
2358;1451;DKRE;Dübendorf, Kreuzbühl;689313.2301;249268.6312
2360;3460;ASPS;Spreitenbach, Asp;671019.4321;251907.9644
2361;1540;LERZ;Dietikon, Lerzen;672479.4073;252307.479
2362;2631;TAWI;Schlieren, Talacker-Windegg;676172.3732;251024.013
2363;457;BERL;Bergdietikon, Bergli;671794.9474;249346.4855
2366;3727;GLAN;Glanzenberg, Bahnhof;674062.4033;250224.99
2367;547;BRUN;Zürich, Brunaustrasse;682617.846;245606.5819
2368;548;BRUS;Fahrweid, Brunaustrasse;673614.3956;251958.9865
2369;3472;SWER;Dietikon, Schönenwerd;674434.9071;250062.9809
2370;2384;SCEN;Spreitenbach, Shopping Center;670151.4398;252601.9611
2373;1725;NEUT;Urdorf, Neumatt;674119.9161;248966.5033
2374;1726;NMAT;Urdorf, Neumattstrasse;674296.918;248957.4941
2375;2814;WALD;Zürich, Waldgarten;684462.2516;250967.0767
2376;466;BOLD;Bergdietikon, Bernold;671692.4529;249005.4809
2377;6744;RIST;Birmensdorf ZH, Ristet;674792.4332;246535.5036
2378;1556;LIMB;Fahrweid, Limmatbrücke;673462.408;251213.9855
2379;2471;STAF;Dietikon, Staffelackerstrasse;671883.4315;250542.4848
2380;550;BRUG;Schlieren, Brunngasse;676203.3833;250007.5191
2381;725;DOER;Dietikon, Dörfli;673067.4192;250408.4919
2382;1388;KESS;Schlieren, Kesslerstrasse;675505.3873;249976.9987
2383;1640;MICA;Zürich, Micafil;678202.853;249653.0352
2385;729;DUEN;Bergdietikon, Dünni;672066.4509;249731.4749
2386;2732;UITI;Urdorf, Uitikonerstrasse;674552.4237;248410.991
2387;3822;BKIS;Killwangen, Bahnhof;669106.4364;253955.4306
2388;6663;SPAL;Spreitenbach, Altersheim;670176.4395;252421.4643
2389;815;FAAU;Fahrweid, Au;673633.9038;251661.4988
2391;1731;NURD;Urdorf, Niederurdorf;673986.9176;249291.4935
2392;2569;STEA;Dietikon, Stelzenacker;671942.4288;250788.9623
2394;2399;DMOO;Dietikon, Moosmatt;672086.4071;252500.461
2396;1397;KIND;Kindhausen AG;670770.4624;249676.4647
2397;6586;CESP;Spreitenb, Center Spreitenbach;670264.4374;252787.4613
2398;3748;STAK;Schlieren, Steinacker;674567.9015;249965.4935
2400;1911;PDUB;Dübendorf, Post;688931.2035;250133.6279
2401;1571;WLIN;Weiningen ZH, Lindenplatz;675094.8686;252555.9972
2404;488;BILO;Zürich, Billoweg;682605.8564;245107.072
2406;2666;TIER;Zürich, Tierspital;684046.7601;250733.0783
2410;743;ECKS;Unterengstringen, Eckstein;676255.3615;251566.5083
2411;748;EGGB;Oberengstringen, Eggbühl;678155.8412;251037.5268
2412;3589;OBUR;Urdorf, Oberurdorf;674333.9238;248010.9891
2413;1666;MUSR;Zürich, Museum Rietberg;682562.8435;246115.0732
2414;2582;STOC;Zürich, Stockerstrasse;682852.3349;246914.0599
2422;1179;HERZ;Zürich, Herzogenmühlestrasse;685599.2367;251341.5977
2423;6626;BLUM;Zürich, Blumenfeldstrasse;680478.288;253099.0292
2424;6627;ASPH;Zürich, Aspholz;680157.2896;253227.5487
2425;6628;MUEH;Zürich, Mühlacker;679803.2845;253360.5359
2426;3444;GLOK;Zürich, Glockenacker;687647.2854;246211.6276
2427;1527;LEEA;Ebmatingen, Leeacherstrasse;690343.2556;245570.1514
2428;617;CARL;Zürich, Carl-Spitteler-Strasse;686745.2905;245903.6144
2429;1705;NEUA;Zürich, Neuaffoltern;682013.275;251793.5555
2430;445;BENG;Benglen;690641.2483;246288.6597
2431;446;BGER;Benglen, Gerlisbrunnen;690210.7536;246250.1517
2432;2622;SAGG;Pfaffhausen, Sängglen;689589.7554;246927.6438
2433;447;BENK;Ebmatingen, Benkelsteg;691641.2475;244658.6648
2434;1362;KAPF;Zürich, Kapfstrasse;685547.8115;246200.0909
2435;708;DREI;Zürich, Dreispitz;685243.7345;251713.0916
2436;3467;FMAT;Binz bei Maur, Fridlimatt;689592.7595;246056.6404
2437;455;BERH;Zürich, Berghaldenstrasse;686982.7855;245949.6119
2438;713;DRUS;Zürich, Drusbergstrasse;686134.3009;246132.6066
2439;2737;UAFF;Zürich, Unteraffoltern;680994.2775;253154.555
2440;901;FRDR;Zürich, Friedrichstrasse;685285.7417;250955.5846
2441;908;FROB;Zürich, Frohburg;684823.7516;250978.5986
2442;1821;OBEW;Zürich, Oberwiesenstrasse;682568.7819;251649.5685
2443;738;EBMA;Ebmatingen;690859.2627;245197.6502
2444;2836;WASE;Zürich, Waserstrasse;686523.3049;245910.6075
2445;914;FRON;Zürich, Fronwald;680828.2838;252903.5428
2446;6591;GAAN;Effretikon, Garage Andres;694026.1257;252877.6707
2447;833;FELH;Pfaffhausen, Feldhof;689243.7599;246588.6392
2448;490;MPOS;Binz bei Maur, Post;689856.7677;245814.1437
2449;1583;MLOR;Ebmatingen, Looren;691677.2626;243892.6654
2450;1584;LOOR;Zürich, Loorenstrasse;687328.2904;246071.6057
2451;3760;HALO;Zürich, Hallenbad Oerlikon;684326.7448;251706.0881
2452;750;EGGL;Fällanden, Eggler;690339.2381;247434.1493
2453;3764;MAXB;Zürich, Max-Bill-Platz;683195.2649;252055.58
2454;1000;GLAU;Zürich, Glaubtenstrasse;681550.7802;252066.5617
2455;678;MDOR;Maur, Dorf;693009.7494;244027.6748
2456;2688;TULP;Zürich, Tulpenstrasse;685276.2425;251201.588
2457;767;EINF;Zürich, Einfangstrasse;681075.2854;252212.5495
2458;684;DORS;Schwerzenbach ZH, Dorf;691627.1991;248441.1568
2459;947;FAEL;Fällanden, Gemeindehaus;690744.7263;247466.6632
2460;694;DORF;Zürich, Dorflinde;683820.2621;251320.5729
2461;1871;PFAF;Pfaffhausen, Pfaffenstein;689835.2397;247100.1449
2462;1873;PMUE;Pfaffhausen, Müseren;689047.2595;246431.6329
2463;888;FRIA;Zürich, Friedackerstrasse;684148.7592;251160.0798
2464;1892;MPLA;Maur, Platten;692349.7456;244329.1626
2465;2145;SAAT;Zürich, Saatlenstrasse;684881.2465;251727.5887
2466;899;FWIT;Zürich, Friedhof Witikon;687935.7793;246267.6228
2467;1403;MKIR;Maur, Kirche;693362.7506;243732.1849
2468;2069;RIEG;Zürich, Riedgraben;684540.2545;251711.0795
2469;6511;BAFS;Zürich, Bahnhof Affoltern Süd;680730.276;252753.5456
2470;1324;FAEI;Fällanden, Industrie;691051.7249;247941.6656
2471;2335;SHUA;Fällanden, Schützenhaus;690170.7362;247104.6552
2472;1160;HERB;Zürich, Herbstweg;684991.2363;251506.5778
2473;2251;SYFI;Zürich, Schlyfi;685784.7994;246359.0946
2474;2342;MSEE;Maur, See;693720.2458;243977.6975
2475;1498;LANA;Unterengstringen, Langacher;676574.8549;251762.5162
2476;838;FSTR;Schlieren, Feldstrasse;676184.3748;250823.0032
2478;1758;ODIE;Dietikon, Oberdorf;672314.4283;250530.4832
2480;1759;OBDO;Oetwil an der Limmat, Oberdorf;672388.3982;253430.4642
2481;1586;LUBE;Urdorf, Luberzen;674345.4134;249685.985
2482;1587;LUCH;Zürich, Luchswiesen;686579.2253;251284.6111
2483;3590;SONU;Urdorf, Sonne;674317.4271;248275.0107
2484;753;EGLI;Dübendorf, Eglishölzli;689949.8551;251200.1504
2485;1843;OETW;Dietikon, Oetwilerstrasse;672316.9323;251067.982
2486;757;EIHH;Kindhausen AG, Eichholz;671098.9556;249701.4795
2487;2005;PWOL;Zürich, Post Wollishofen;682708.3609;244343.0881
2488;586;BUTZ;Zürich, Butzenstrasse;682467.3725;243935.5677
